title,artist
"Swing Low, Sweet Chariot",Fisk University Jubilee Quartet
I've Got Rings on My Fingers,Jule Styne
Moonstruck,Gertie Millar
Yip-I-Addy-I-Ay,George Grossmith Jr.
Bring Me a Rose,Phyllis Dare
The Jocular Joker,George H. Chirgwin
That Wasn't All!,Ralph Herz
Beautiful Isle of Somewhere,Harold Jarvis
"No News, Or What Killed the Dog",Nat M. Wills
Take Me Out To The Ball Game,Edward Meeker
The Glow-Worm,Lucy Marsh
Are You Sincere?,Elise Stevenson
Adam & Eve,Grace Cameron
As Long as the World Rolls On,Reinald Werrenrath
Nini Peau D'chien,Aristide Bruant
I Know a Lovely Garden,Derek Oldman
Maple Leaf Rag,United States Marine Band
Take Me Back to New York Town,Harry Tally
By The Side of The Zuyder Zee,Gerald Adams
Rose in The Bud,Eleanor Hudson
The Bird on Nellie's Hat,Helen Trix
Casey at the Bat,DeWolf Hopper
Here it Comes Again,Mother Misery
Give My Regards to Leicester Square,Victoria Monks
On the Rocky Road to Dublin,The Dubliners
I Want What I Want When I Want It,George Alexander
There Never was a Girl Like You,James McCool
Peaches 'n' Cream,Len Spencer
The Pipes of Pan,Winnie Melville
Cigarette,Robert Tear
If Those Lips could Only Speak,George Baker
Amor Perdido,Patapio Silva
I Can't Do My Bally Bottom Button Up,Ernie Mayne
Meet Me in St Louis,St. Louis Ragtimers
Bedelia,Arthur Pryor's Band
A Bird in a Gilded Cage,Hamilton Hill
The Rosary,William H. Thompson
Hiawatha,Columbia Orchestra
Corta Jaca,Pepa Delgado
The Entertainer,Scott Joplin
Land of Hope & Glory,Edna Thornton
In the Good Old Summer Time,William M. Redmond
"Any Old Place I Hang My Hat is Home, Sweet Home To Me",Will F. Denny
Knocked 'Em in The Old Kent Road,Jack Morrison (2)
"Good-Bye, Dolly Gray",Delta Big Four
Whip-Poor-Will Song,Joe Belmont
The Laughing Song,George Washington Johnson
I Want to Be a Military Man,Louis Bradfield
Ma Tiger Lily,Peerless Orchestra
If it Wasn't For The 'Ouses in Between,Gus Elen
My Wild Irish Rose,Harry Magee
San Francisco Sadie,Mustard Plug
A Night Trip to Buffalo,American Quartet
Soldiers of The Queen,Arthur Christian
Le Trottoir De L'exposition,Polin
I'm Forever Blowing Bubbles,Ben Selvin and His Orchestra
That Old Fashioned Mother of Mine,Ernest Pike
Till We Meet Again,Nicholas Orlando's Orchestra
Beautiful Ohio,Waldorf-Astoria Dance Orchestra
Poor Little Butterfly (Is a Fly Gal Now),Belle Baker
How Ya Gonna Keep 'Em Down on the Farm (After They've Seen Paree),Harry Fay
Chong,Columbia Saxophone Sextette
Don't Have Any More Mrs Moore,Lily Morris
Kentucky Dreams,Yerkes' S. S. Flotilla Orchestra
That Tumble-Down Shack in Athlone,Sterling Trio
What Do You Want to Make?,Harry Weldon
I Want a Girl,Dorothy Ward
"If He Can Fight Like He Can Love (Good Night, Germany)",Farber Sisters
For Me & My Gal,Van Eps Trio
The Star Spangled Banner,Francis Scott Key
I Passed By Your Window,Walter Glynne
Listen to the Lambs,Hampton Quartette
Pack Up Your Troubles in Your Old Kit Bag,Knickerbocker Quartet
Love Will Find a Way,Josie Collins
Vagalume Sorrindo,Grupo Caxangá
Smiles & Chuckles,Six Brown Brothers
Pretty Baby,Billy Rocka
America,Columbia Mixed Double Quartette
Turn Back the Universe & Give Me Yesterday,Orpheus Quartet
Everybody's Crazy On The Foxtrot,Walter Jeffries
Birds in the Night (A Lullaby),Sophie Braslau
If I Knock the 'L' Out of Kelly (It Would Still be Kelly to Me),Marguerite Farrell
Aida - Celeste Aida,Hipólito Lázaro
Caraboo,Os Geraldos
"All I Want is a Cottage, Some Roses, & You",Geoffrey O'Hara
At the End of a Beautiful Day,Elizabeth Wheeler
"Hello, Frisco!",Olive Kline
"Apanhei-te, Cavaquinho",Grupo O Passos No Choro
I Didn't Raise My Boy to Be a Soldier,Morton Harvey
"A Little Bit of Heaven (Shure, They Call it Ireland)",George Macfarlane
Serenade: Spanish Dance No 2,Pablo Casals
Oh Come All ye Faithful,John MacNally
Here We Are Again,Debroy Somers Band
Are We Downhearted? No!,Harrison Latimer
Cohen on the Telephone,Joe Hayman
Gilbert The Filbert,Basil Hallam
You've Got Your Mother's Big Blue Eyes,Marguerite Dunlap
When We've Wound Up The Watch On The Rhine,Violet Loraine
I Was a Good Little Girl 'till I Met You,Clarice Mayne
When You Wore a Tulip & I Wore a Big Red Rose,John Fahey
The Road to Mandalay,Frank Croxton
Recorda-te de Mim,Orestes De Matos
"Come Down, Ma Ev'ning Star",Lillian Russell
Who Were You With Last Night?,Mark Sheridan
Amor Ingrato,Neco
Moonlight Bay,Dolly Connolly
"I'm Shy Mary Ellen, I'm Shy",Jack Pleasants
Let Me Stay & Live in Dixieland,Charles E. King
The Photo of The Girl I Left Behind,Billy Merson
Dor Suprema,J.F. de Almeida
Perfect Day,Cecil Fanning
Alexander's ragtime band,Billy Taylor
Baiana dos Pasteis,Eduardo & Risoleta
America the Beautiful,Louise Homer
Don't Go Down The Mine,Stanley Kirby
Where the River Shannon Flows,Harry McClaskey
Tony From America,Columbia Light Opera Company
You Ain't Talking to Me,Eddie Morton
Ginger You're Barmy,Harry Champion
Molly O'Morgan,Ella Retford
Pony Blues,Charley Patton
Pagan Love Song,Bob Haring & His Orchestra
Gosto Que Me Enrosco,Dudu Nobre
Little Orphan Annie,Coon‐Sanders’ Original Nighthawk Orchestra
Breakaway,Arnold Johnson And His Orchestra
Strike Up the Band,"Victor Arden, Phil Ohman & Their Orchestra"
I Lift Up My Finger & I Say Tweet Tweet,Stanley Lupino
New Orleans Shout,King Oliver
Wildwood Flower,The Carter Family
Pinetop's Boogie Woogie,Clarence “Pine Top” Smith
Mack the Knife,Bertolt Brecht
Allons a Lafayette,Cléoma Falcon
Bill,Helen Morgan
Statesboro Blues,Blind Willie McTell
"How Long, How Long Blues",Leroy Carr
Frankie,Mississippi John Hurt
Lovesick Blues,Emmett Miller & His Georgia Crackers
