title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Heat Waves,Glass Animals,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
STAY (with Justin Bieber),The Kid LAROI,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928
abcdefu,GAYLE,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011
Cold Heart - PNAU Remix,Elton John,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032
Easy On Me,Adele,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087
MAMIII,Becky G,0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991
Desesperados,Rauw Alejandro,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02
We Don't Talk About Bruno,Carolina Gaitán - La Gaita,0.577,0.45,0,-8.516,0,0.0834,0.357,0.0,0.111,0.83,205.863
Shivers,Ed Sheeran,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02
Infinity,Jaymes Young,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,0.494,121.963
Still D.R.E.,Dr. Dre,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431
THATS WHAT I WANT,Lil Nas X,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981
Boyfriend,Dove Cameron,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773
Ghost,Justin Bieber,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96
Woman,Doja Cat,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998
Stay Alive (Prod. SUGA of BTS),Jung Kook,0.512,0.76,2,-5.889,0,0.0682,0.299,0.0,0.103,0.495,130.096
Pepas,Farruko,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
Bad Habits,Ed Sheeran,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011
My Universe,Coldplay,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006
I Love You So,The Walters,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977
pushin P (feat. Young Thug),Gunna,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502
Do It To It,ACRAZE,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,0.528,0.309,0,-7.398,1,0.0329,0.924,2.1e-06,0.282,0.307,133.83
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,0.686,0.735,2,-4.616,1,0.264,0.00921,0.00066,0.342,0.0596,171.355
Where Are You Now,Lost Frequencies,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966
good 4 u,Olivia Rodrigo,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928
Without Me,Eminem,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238
The Motto,Tiësto,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953
Yonaguni,Bad Bunny,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951
Need to Know,Doja Cat,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041
Blinding Lights,The Weeknd,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
Sweater Weather,The Neighbourhood,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053
Light Switch,Charlie Puth,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009
The Real Slim Shady,Eminem,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504
Kiss Me More (feat. SZA),Doja Cat,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97
The Next Episode,Dr. Dre,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295
traitor,Olivia Rodrigo,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607
Softcore,The Neighbourhood,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986
Mon Amour - Remix,zzoilo,0.748,0.761,2,-6.621,1,0.102,0.122,6.56e-06,0.0984,0.362,116.041
